Sumber Penerimaan - Keuangan,,,
,Realisasi Pendapatan Negara (Milyar Rupiah),,
,2022,2023,2024
I. Penerimaan Dalam Negeri,2630147,2634148.9,2801862.9
1. Penerimaan Perpajakan,2034552.5,2118348,2309859.8
a. Pajak Dalam Negeri,1943654.9,2045450,2234959.3
(1) Pajak Penghasilan,998213.8,1040798.4,1139783.7
i. Migas,-,-,-
ii. Non Migas,-,-,-
(2) Pajak Pertambahan Nilai dan dan Pajak Penjualan atas Barang Mewah,687609.5,742264.5,811365
(3) Pajak Bumi dan Bangunan,23264.7,25462.7,27182.2
(4) Bea Perolehan Hak atas Tanah dan Bangunan,-,-,-
(5) Cukai,226880.8,227210,246079.4
(6) Pajak Lainnya,7686.1,9714.4,10549
b. Pajak Perdagangan Internasional,90897.6,72898,74900.5
(1) Bea Masuk,51077.7,53094,57372.5
(2) Pajak Ekspor,39819.9,19804,17528
2. Penerimaan Bukan Pajak,595594.5,515800.9,492003.1
a. Penerimaan Sumber Daya Alam,268770.8,223312.1,207669.6
b. Pendapatan dari Kekayaan Negara yang Dipisahkan,40597.1,81535.8,85845.5
c. Penerimaan Bukan Pajak Lainnya,196324.3,131493.6,115136
d. Pendapatan Badan Layanan Umum,89902.3,79459.4,83352
II. Hibah,5696.1,3100,430.6
Jumlah,2635843.1,2637248.9,2802293.5
