Date,Price,Open,High,Low,Vol.,Change %
1/1/2018,"13,567.50","13,567.50","13,567.50","13,567.50",,0.00%
1/2/2018,"13,517.50","13,537.50","13,555.50","13,514.50",,-0.37%
1/3/2018,"13,478.00","13,500.00","13,509.00","13,476.00",,-0.29%
1/4/2018,"13,423.50","13,466.50","13,481.50","13,411.50",,-0.40%
1/5/2018,"13,415.50","13,413.50","13,435.50","13,392.50",,-0.06%
1/8/2018,"13,426.50","13,405.50","13,426.50","13,390.50",,0.08%
1/9/2018,"13,437.50","13,429.50","13,440.50","13,407.50",,0.08%
1/10/2018,"13,436.50","13,435.50","13,455.50","13,427.50",,-0.01%
1/11/2018,"13,399.50","13,428.50","13,430.50","13,399.50",,-0.28%
1/12/2018,"13,353.50","13,368.50","13,371.50","13,353.50",,-0.34%
1/15/2018,"13,334.50","13,325.50","13,338.50","13,315.50",,-0.14%
1/16/2018,"13,337.50","13,330.50","13,340.50","13,325.50",,0.02%
1/17/2018,"13,357.50","13,317.50","13,362.50","13,317.50",,0.15%
1/18/2018,"13,346.00","13,361.00","13,371.00","13,341.00",,-0.09%
1/19/2018,"13,313.50","13,338.50","13,343.50","13,286.50",,-0.24%
1/22/2018,"13,347.50","13,320.50","13,350.50","13,320.50",,0.26%
1/23/2018,"13,325.00","13,335.00","13,336.00","13,310.00",,-0.17%
1/24/2018,"13,313.50","13,317.50","13,330.50","13,309.50",,-0.09%
1/25/2018,"13,288.50","13,291.50","13,296.50","13,266.50",,-0.19%
1/26/2018,"13,307.00","13,296.00","13,311.00","13,296.00",,0.14%
1/29/2018,"13,363.50","13,311.50","13,363.50","13,311.50",,0.42%
1/30/2018,"13,432.50","13,382.50","13,442.50","13,382.50",,0.52%
1/31/2018,"13,388.50","13,421.50","13,426.50","13,376.50",,-0.33%
2/1/2018,"13,427.00","13,387.00","13,432.00","13,387.00",,0.29%
2/2/2018,"13,451.50","13,413.50","13,453.50","13,413.50",,0.18%
2/5/2018,"13,525.00","13,495.00","13,530.00","13,495.00",,0.55%
2/6/2018,"13,552.50","13,567.50","13,607.50","13,552.50",,0.20%
2/7/2018,"13,553.00","13,526.00","13,561.00","13,523.00",,0.00%
2/8/2018,"13,605.00","13,605.00","13,627.00","13,595.00",,0.38%
2/9/2018,"13,627.50","13,642.50","13,650.50","13,617.50",,0.17%
2/12/2018,"13,657.50","13,607.50","13,657.50","13,597.50",,0.22%
2/13/2018,"13,657.50","13,632.50","13,657.50","13,632.50",,0.00%
2/14/2018,"13,628.50","13,647.50","13,662.50","13,612.50",,-0.21%
2/15/2018,"13,558.50","13,591.50","13,591.50","13,541.50",,-0.51%
2/16/2018,"13,558.50","13,558.50","13,558.50","13,558.50",,0.00%
2/19/2018,"13,560.50","13,552.50","13,562.50","13,532.50",,0.01%
